所述 的 导入 篮 ( 13 ) 在 方导柱 ( 10 ) 上 可作 垂直 运动 。 ||| the introduction of the basket ( 13 ) in the 方导柱 ( 10 ) can be done on the vertical movement .
前后脚 连杆 的 钢管 的 两端 分别 插入 前 椅子 脚 、 后 椅子 脚 的 塑料套 管 ; ||| both ends of the steel pipes 前后脚 links , respectively , after the chair foot , prior to insertion of the chair foot plastic sleeve ;
本发明 只有 两条 边 有 相互 接合 的 排水槽 , ||| the present invention has only two edges in engagement with each other , the waterspout
方导柱 ( 10 ) 呈 中空 的 方形 。 ||| 方导柱 ( 10 ) has a hollow square .
本发明 也 涉及 含有 脂 筏 - 膜 穴 依赖型 内 吞 通路 的 调节剂 和 治疗剂 的 药物 组合 物 。 ||| the present invention also relates to a product containing lipid raft- film pocket dependant endocytosis pathway modulators , and a therapeutic agent in a pharmaceutical composition .
该 装置 能够 在 火灾 发生 的 初期 进行 灭火 作业 , 降低 了 灭火 难度 。 ||| the device to be performed at the initial stage of the fire fighting a fire occurs , the job is reduced by the extinguishing difficulty .
具有 上述 结构 的 烧烤 转动 器 ( 200 ) 使得 烧烤 无需 外 接电源 且 可 减少 人工 手动 操作 。 ||| the above structure having a barbecue rotator ( 200 ) such that the grilling without the need for external power supply and may reduce the manual manual operation .
本发明 公开 了 一种 测量 设备 , 该 测量 设备 包括 : 主体 、 设置 于 主体 内部 的 信号处理 模块 、 与 信号处理 模块 连接 的 第一 数据通信 接口 和 与 信号处理 模块 连接 的 信号 采集 模块 ; ||| the present invention discloses a measurement device , the measurement device comprising : a main body disposed in the interior of the body , the signal processing module , with a signal processing module are connected to the data communication interface and a first signal processing module is connected to a signal acquisition module ;
本发明 生物学 性能 好 , 不会 生锈 , 有效 避免 了 医用 流体 污染 ; ||| the present invention is good , the biological properties will not rust , effective to avoid contamination of the medical fluid ;
b : 根据 所述 开 度 与 流速 的 关系 以及 预设 氧 浓度值 控制 所述 空气 比例阀 和 氧气 比例阀 ; ||| b : according to the opening and the flow rate of the oxygen concentration value preset relationship as well as controlling the air proportional valve and oxygen proportional valve ;
信号处理 模块 , 用于 对 生理 参数 信号 进行 处理 , 生成 生理 参数 数据 , 并 将 生理 参数 数据 通过 第一 数据通信 接口 输出 给 终端设备 , 以 供 终端设备 对 生理 参数 数据 进行 显示 。 ||| the signal processing module for processing is performed on the physiological parameter signal , generates a physiological parameter data , and the physiological parameter data is output by the first data communication interface for use by the terminal device to the terminal device , the physiological parameter data for display .
一种 袋装 水 自动 导入 控制器 的 机 盖 ( 4 ) 与 机体 ( 12 ) 采用 铰链 结合 。 ||| a controller automatically bagged water introduced into the cover ( 4 ) of the body ( 12 ) , with a hinge binding .
使 第一线 体 ( 13 ) 卷绕 于 绞线 盘 ( 112 ) 或 自 绞线 盘 ( 112 ) 释出 , 并 使 座椅 ( 20 ) 沿着 第一线 体 ( 13 ) 所 移动 的 方向 位移 。 ||| the first body ( 13 ) is wrapped around the wire stranding disc ( 112 ) or from the wire stranding disc ( 112 ) is released , and the seating ( 20 ) along the lines of the first body ( 13 ) that is moved in the direction of the displacement .
感应 触发器 ( 3 ) 与 一 无线 信号 发射器 ( 5 ) 连接 , ||| induction flip- flop ( 3 ) with a wireless signal transmitter ( 5 ) connection ,
刀片 驱动 组件 ( 3 ) 包含 一个 用于 驱动 切削 组件 ( 14 ) 的 马达 ( 31 ) , 连接 马达 ( 31 ) 与 切削 组件 ( 14 ) 的 上下 离合器 ( 18,33 ) 及 安装 马达 ( 31 ) 的 壳体 ( 32 ) 。 ||| the blade drive assembly ( 3 ) for driving the cutting assembly containing one ( 14 ) of the motor ( 31 ) , connecting the motor ( 31 ) and a cutting assembly ( 14 ) of the lower and upper clutch ( 18,33 ) and mounting the motor ( 31 ) of the housing ( 32 ) .
后 椅子 脚 包括 由 钢管 组成 的 后 椅子 脚 镶 件 以及 套接 在后 椅子 脚 镶 件 外围 的 塑料套 管 , ||| by following the chair foot comprises a foot of a steel pipe after the socket insert and a chair back chair foot insert periphery , an elastic sleeve
一种 吊 椅 升降 装置 ( 10 ) 其 包括 蜗轮 ( 11 ) 、 蜗杆 ( 12 ) 、 第一线 体 ( 13 ) 、 固 持 单元 ( 14 ) 及 驱动器 ( 15 ) 。 ||| a hanging chair lift device ( 10 ) which comprises a worm wheel ( 11 ) , a worm gear ( 12 ) , the first body ( 13 ) , a holding unit ( 14 ) and a driver ( 15 ) .
该 弧形 条 孔 ( 14 ) 至少 设有 一比 支杆 ( 11 ) 截面 更 大 的 第一段 孔 , 以使 支杆 ( 11 ) 沿 该 第一段 孔 插入 。 ||| the curved bar holes ( 14 ) is provided with at least one bar ( 11 ) cross section larger hole , so that the first segment of the struts ( 11 ) in the first section is inserted into the hole .
术 中 支架 ( 1 ) 被 收拢 并 被 包裹 于 包膜 ( 10 ) 内 。 ||| the intraoperative bracket ( 1 ) is collapsed and are wrapped in the envelope ( 10 ) .
本发明 还 提供 了 一种 包含 Tat 佐剂 的 疫苗 组合 物 , 其中 Tat 佐剂 可以 增强 疫苗 诱导 的 免疫 应答 。 ||| the present invention further provides a vaccine comprising a tat adjuvant , wherein the adjuvant composition tat can enhance vaccine induced immune responses .
本发明 生产工艺 简单 , 凝胶 固化 快 , 制成 的 凝胶 垫 平整 。 ||| the present invention is simple , fast curing process is made of gel , the gel pad is flat .
注射 完成 后 注射针 能 通过 自动 回 缩 机构 回 缩 隐藏 , 确保 医患 人员 避免 遭受 污 针尖 的 意外 伤害 , 芯 杆 被 卡 篮 卡住 无法 回 抽 , 致使 无法 重复使用 用 过 的 注射器 进行 注射 , ||| upon completion of the injection needle can be passed through the automatic retraction mechanism to retract the hidden , ensuring that the needle tip 医患 personnel to avoid incurring accidental injury of the soil , the core rod is unable to retain the card basket cannot be reused so that withdrawal of the used syringe was injected ,
本发明 提供 了 PRDX2 和 / 或 PRDX6 在 制备 治疗 或 预防 因 活性氧 ( ROS ) 增高 引起 的 损伤 、 衰老 或 疾病 的 药物 组合 物 中 的 应用 。 ||| the present invention provides prdx2 and / or prdx6 in preparation for the treatment or prevention of caused by reactive oxygen species ( ros ) damage caused by the increase of the disease , aging or use of the pharmaceutical composition .
调节 组件 包括 调整 螺钉 、 第一 弹簧 、 隔膜 片 和 第二 弹簧 , ||| the adjustment assembly comprises adjusting screws , the first spring , a diaphragm and a second spring ,
所述 支杆 ( 11 ) 中段 的 侧壁 上 设有 一 环形 凹槽 ( 111 ) 。 ||| the struts ( 11 ) on the side of the middle section is provided with an annular groove ( 111 ) .
一种 带有 加热 装置 的 厨 用 切碎机 , ||| a is provided with heating means , with a kitchen chopper
一种 针头 能 换 且 能 自动 回 缩 的 仅 能 使用 一次 的 安全 注射器 , 包括 外套 , 芯 杆 , 配药 针头 和 注射 针头 , ||| a needle can change and is capable of automatically retract can only be used once safety syringe includes an outer jacket , the core rod , dosing needle and syringe needle
一种 用于 呼吸系统 疾病 的 药物 组合 物 及其 制备 工艺 与 应用 , 由 以 左 羟丙 哌嗪 和 羧 甲 司坦 为 有效 成份 与 药物 可 接受 的 辅料 组成 的 。 ||| a respiratory disease for the pharmaceutical composition and the preparation thereof by the process and use to levodropropizine and carboxymethyl prostacyclin as active ingredient and a pharmaceutical acceptable adjuvant .
一种 环氧 虫 啶 悬浮剂 及其 制备 方法 , ||| an epoxy worm suspending agent and a method for preparing the pteridine
此 按摩 过程 均 采用 智能 技术 自动 实现 , ||| this massage process both use the intelligent technologies , to automatically implement the
该 中药 组合 物 可 用于 治疗 刀伤 、 烧伤 、 烫伤 等 多种 创伤 , 起效 快 、 疗程短 , 可以 减轻 病人 的 痛苦 。 ||| the herbal composition can be used for the treatment of a knife , a burn , trauma , burns , etc. more faster onset , 疗程短 can reduce patient suffering .
质量 好 、 合格率 高 , 降低 了 成本 。 ||| quality is good , the yield is high , reducing cost .
本发明 提供 了 环氧 虫 啶 一种 环保型 水基 化 剂型 , 降低 了 对 环境 的 污染 、 提高 了 对 作物 的 药效 。 ||| the present invention provides a water based epoxy caninum polyethylenimines 环保型 the dosage form , reducing the pollution of the environment , enhances the efficacy of the crop .
中控 模块 与 运动 感应器 连接 实现 运动 信号 的 采集 ; ||| control module connected to the motion sensor to achieve the motion signal acquisition ;
本发明 公开 了 一种 生态 移动 容器 , 它 主要 由 保温 隔热层 、 排水槽 、 蓄水 层 、 阻 根 层 、 排水 过滤 层 、 输水管 、 围 合板 组成 ; ||| the present invention discloses a ecological mobile container which consists predominantly of insulating thermally insulating layer , drainage channels , a reservoir layer , a root layer , the drain filter layer , water delivery pipe , of the girth of the laminate ;
所述 方法 包括 : 设置 生理 发育 参数信息 并 存储 ; 采集 婴儿 的 运动 信号 , 由 中控 模块 根据 生理 发育 参数 或者 运动 信号 生成 驱动 信号 以 驱动 相应 的 表现 装置 产生 相应 表现 。 ||| the method comprises : setting the developmental and physiological parameter information stored in the infant. acquisition by the control module , the motion signal according to a physiological developmental parameters or motion signal generating drive signals to drive a corresponding rendering device generates a respective rendering .
阀座 的 进 液 口 位于 阀座 下部 , 所述 阀芯 位于 阀座 的 下部 与其 启闭 配合 ; ||| the ports of the valve seat is located at the lower portion , and said valve seat is located in the lower part of the poppet valve seat with which it is open and close fit ;
包体 的 表面 和 / 或 背带 上 设有 至少 一个 透光 袋 ( 1 ) , ||| the surface of the body and / or the strap is provided with at least one light- transmitting bag ( 1 ) ,
所述 远端 弯曲 段 ( 32 ) 由 所述 导 丝 ( 13 ) 弯曲 构成 , 其 末端 为 尖 形 结构 ; ||| the distal bent section ( 32 ) by the guide wire ( 13 ) , whose ends are bent formed into sharp structure ;
只 需 在 血管 病变 位置 的 端 部将 主动脉 切开 , 将 安装 在 输送 装置 上 的 术 中 支架 方便快捷 地 植入 到 相应 的 病变 位置 , 包括 分支 血管 的 病变 位置 , ||| the position of the lesion in a blood vessel needs only to the end portion of the aortic dissection , on the delivery device to be mounted on a stent was implanted to easily and quickly in the corresponding position of the lesion , including the position of the lesion , the branch vessel
本发明 涉及 吲哚 -2,3- 二 酮 在 制备 改善 生 精 障碍 药物 中 的 应用 , ||| the present invention relates to indole-2,3- dione , improving the sperm disorders , in the manufacture of a medicament ,
厨 用 切碎机 包括 杯 体 组件 ( 1 ) 、 发热 组件 ( 2 ) 及 刀片 驱动 组件 ( 3 ) , ||| with a cooking chopper comprises a cup assembly ( 1 ) , the heat generating components ( 2 ) and a blade drive assembly ( 3 ) ,
该 转轴 组件 插入 座圈 、 盖板 的 轴套 , 座圈 、 ||| the shaft assembly is inserted into the seat , a cover plate , a sleeve of the seat ring .
手柄 ( 1 ) 上 设有 可 更换 的 彩色 贴片 , 不仅 使 拉手 美观 , 而且 更 丰富 了 家具 的 整体 色彩 。 ||| the handle ( 1 ) is provided with replaceable color patch , not only is the aesthetic appearance of the handle , and a furniture is more abundant in the overall color .
用 弹簧 代替 橡胶 膜片 复位 密封 , 长期 使用 也 能够 保证 减压 的 可靠性 高 , 并且 消除 了 传统 结构 因 共振 而 产生 噪音 的 弊病 。 ||| the diaphragm is reset by a spring in place of the rubber seal , long- term use of reduced pressure can ensure that the high reliability of conventional construction , and eliminates the noise is generated due to the resonance of the disease .
最后 , 细胞 毒性 试验 表明 其 在 有效 抗病毒 浓度 下 对 细胞 基本 无毒性 。 ||| finally , cell toxicity tests indicated that it was an effective antiviral concentration for substantially non- toxic to the cells .
光 引发 剂 为 裂解 型 引发 剂 或 光敏 引发 剂 或 阳离子型 引发 剂 。 ||| the photoinitiator was cleavage type photoinitiator or photoinitiator or a cationic initiator .
所述 导 丝 ( 13 ) 由 高弹性 材料 制成 , ||| the guide wire ( 13 ) is made of elastomeric material ,
该 集成 有 发光体 的 背包 结构 简单 , 透光 袋 兼具 储 物 功能 , 发光 部件 制作 成本低 , 便于 光线 较 暗 环境 中 背包 的 显示 与 使用 。 ||| the light emitters is integrated with the simple structure of the backpack has both functions of the storage bag is transparent to light , the light emitting member is carried out at a low cost , ease of light rays are relatively dark environment using a display with a backpack .
前 、 后 椅子 脚 镶 件 的 两 纵向 管 之间 均 设置 有 塑料 卡 块 , 塑料 座 板卡 和 在 所述 塑料 卡 块 上 。 ||| the front and the rear of the chair foot insert between two longitudinal tubes are provided with a plastic card , plastic seat boards and blocks in said plastic card block .
本发明 提供 了 一种 电磁 比例阀 和 包含 该 电磁 比例阀 的 呼吸机 。 ||| the present invention provides an electromagnetic proportional valve and the electromagnetic proportional valve comprising a ventilator .
声光 装置 包括 运动 感应器 、 中控 模块 和 至少 一个 表现 装置 ; ||| an acousto- optic device comprises a motion sensor , control module and at least one presentation means ;
一种 环氧 虫 啶 水 分散 粒 剂 及其 制备 方法 。 ||| an epoxy water dispersible granule is firefly polyethylenimines and processes for its preparation .
所述 报警 系统 ( 9 ) 同时 设置 于 机车 操作室 和 火灾 监测 区 。 ||| the alarm system ( 9 ) provided at the same time to locomotive operating chamber and monitoring the region of a fire .
配药 针头 用 塑料 材料 成型 , 能 根据 使用 需要 更换 成 注射 针头 , 不致 因 溶 药 使 针头 产生 变形 和 影响 光滑度 及 锋利度 , 从而 对 人体 注射 产生 不良影响 。 ||| a dispensing needle shaped with a plastic material can be used , according to needs to be replaced into the injection needle , the needle due to soluble drugs without causing deformation and affecting smoothness and sharpness , thereby adversely affecting injection to humans .
一种 无线 篮球 装置 , 其 包括 安装 有 篮筐 ( 1 ) 的 篮板 ( 2 ) 、 感应 进球 的 感应 触发器 ( 3 ) 以及 显示 投篮得分 的 计分 显示器 ( 4 ) 。 ||| a wireless device , comprising : a basketball basket mounted with ( 1 ) of the board ( 2 ) , induction of the goal induction flip- flop ( 3 ) as well as the display 投篮得分 scores of the display ( 4 ) .
该 LED 装置 ( 3 ) 连接 有 开关 ( 5 ) 和 为 LED 装置 ( 3 ) 提供 电源 的 电池 ( 4 ) , ||| the led device ( 3 ) is connected with a switch ( 5 ) and of the led device ( 3 ) for supplying power to the battery ( 4 ) ,
一种 集成 有 发光体 的 背包 , 包括 包体 与 背带 , ||| a luminous body is integrated with the backpack with the shoulder strap , the backpack body , comprising
一种 凝胶 垫 及其 紫外 固化 生产 方法 。 ||| a uv cured gel pad and its production method .
所述 火灾 监控 系统 ( 6,7 ) 和 所述 灭火 系统 设置 于 火灾 监测 区 , ||| the fire monitoring system ( 6,7 ) and the fire extinguishing system is arranged to monitor the region ,
所述 隔膜 片 将 阀体 内 密封 分隔 ; ||| the diaphragm inner seal dividing the valve body ;
所述 心包 穿刺针 组件 ( 10 ) , 在 对 心包 进行 穿刺 时 , 不会 对 心脏 造成 损害 。 ||| the pericardium needle assembly ( 10 ) is carried out in the pericardial when punctured , does not cause damage to the heart .
减少 了 手术 中 吻合 口 的 数量 , 简化 了 手术过程 , 缩短 了 手术 时间 , 减少 了 手术 并发症 , 改善 了 患者 的 生存率 , 提高 了 治疗 的 效果 , 更加 有效 的 减少 了 对 主动脉弓 部 等 疾病 的 患者 的 创伤 。 ||| the reduction in the number of surgical anastomosis , simplifies the procedure , shortens the operation time , reducing the complication of surgery , improves the survival rate of patients improved therapeutic effect , even more effectively reduced the aortic arch part or the like on the wound of a patient suffering from disorders .
该 转轴 组件 包括 一 连接 轴 ( 12 ) 和 一 套环 ( 13 ) 。 ||| the spool assembly comprises a connecting shaft ( 12 ) and a collar ( 13 ) .
第一 数据通信 接口 , 用于 与 终端设备 连接 ; ||| the first data communication interface for connection with the terminal device ;
蜗轮 ( 11 ) 呈 圆板状 且 四周 设有 多个 轮齿 ( 111 ) , 蜗轮 ( 11 ) 的 中心 设有 一 绞线 盘 ( 112 ) , ||| the worm gear ( 11 ) around a circular plate shape and is provided with a plurality of gear teeth ( 111 ) , a worm gear ( 11 ) is provided with a strand is the center of the disc ( 112 ) ,
凝胶 垫 包括 凝胶 袋 套 ( 4 ) , 在 凝胶 袋 套 ( 4 ) 内 装填 有 凝胶 ( 5 ) , 所述 凝胶 ( 5 ) 由 单体 5 - 30 % , 交联剂 0.01 - 2 % , 光 引发 剂 0.001 - 2 % , 水 经由 紫外线 固化 而 成 。 ||| the gel pad including a gel pockets ( 4 ) , in the gel pockets ( 4 ) is filled with a gel ( 5 ) , said gel ( 5 ) by the monomer is 5-30 % , and the crosslinking agent is 0.01-2 % , the photoinitiator is 0.001-2 % , water and made via uv curing .
一种 马桶盖 板 的 快 装 连接 装置 和 快 装 方法 。 ||| one of the toilet cover snap- fit connection means and fast loading method .
所述 的 机体 ( 12 ) 两侧 的 中心 位 上 设有 导入 篮 ( 13 ) 的 方导柱 ( 10 ) 。 ||| the body ( 12 ) is provided on both sides of the central bit is introduced into the basket ( 13 ) of the 方导柱 ( 10 ) .
信号 采集 模块 , 用于 测量 出 生理 参数 信号 , 并 将 生理 参数 信号 输出 给 所述 信号处理 模块 ; ||| the signal acquisition module , for measuring a physiological parameter signal and the physiological parameter signals are output to the signal processing module ;
一种 拿破仑 椅 , 包括 : 塑料 座 板 、 前 椅子 脚 、 后 椅子 脚 、 前后脚 连杆 以及 塑料 靠背 , ||| a napoleon chair , comprising : a plastic panel , a front chair seat rear foot , a foot , a chair back , the plastic links and 前后脚
一种 防水 透气 鞋底 ( 1 ) , ||| a waterproof and breathable sole ( 1 ) ,
所述 的 围 合板 扣 接在 蓄水 层 侧 框 的 顶部 , 构成 一个 敞开 的 容 置 空间 ; ||| the pens of snap engage the reservoir layer laminated to the top of the side frames , forming an open receiving space ;
由于 本发明 在 容器 中间 贯通 了 自动 滴灌 系统 ( 输水管 ) , 可 自动 补水 。 ||| since the present invention in which an automatic container through the middle of the drip irrigation system ( water delivery pipe ) , may automatically re- hydration .
该 LED 装置 ( 3 ) 、 开关 ( 5 ) 与 电池 ( 4 ) 构成 回路 。 ||| the led device ( 3 ) , a switch ( 5 ) and the battery cell ( 4 ) form a loop .
本发明 提供 了 一种 光子 治疗 控制系统 及 光子 治疗 椅 , ||| the present invention provides a control system and the photon photon treatment , treatment chair
以及 c : 根据 当前 氧 浓度值 和 所述 预设 氧 浓度值 微调 所述 空气 比例阀 和 氧气 比例阀 。 ||| and c. according to the current oxygen concentration values and the preset oxygen proportional valve and the air trim value of the oxygen is a proportional valve .
本发明 使用 时 不 改变传统 的 操作 习惯 , 使用 便利 , 作用 可靠 , ||| when used in the present invention without changing the conventional operation of the habit , the convenient and reliable , effect
手术 操作 时 , 可以 根据 病人 左心耳 实际 的 形态 和 尺寸 选定 定位 区 , 降低 手术 的 风险 。 ||| the surgical operation , the patient 's laa may vary depending on the actual morphology and size selected location area , reduce the risk of surgery .
驱动器 ( 15 ) 与 蜗杆 ( 12 ) 的 一端 连接 , 驱动器 ( 15 ) 驱动 蜗杆 ( 12 ) 正传 或 逆转 , 带动 蜗轮 ( 11 ) 及 绞线 盘 ( 112 ) 正传 或 逆转 , ||| the driver ( 15 ) and a worm gear ( 12 ) connected at one end thereof , the driver ( 15 ) drives a worm ( 12 ) being or reverses , rotate the worm gear ( 11 ) and the wire stranding disc ( 112 ) , or reversing being
所述 的 阿齐 沙坦 固体 分 散体 包含 阿齐 沙坦 和 载体 材料 , 其中 载体 材料 选自 聚 维 酮 、 波洛 沙姆 、 聚乙二醇 、 羟丙 基 纤维素 、 聚氧化乙烯 。 ||| the azithromycin of azithromycin form solid dispersion comprises eprosartan is eprosartan and a carrier material , wherein the support material is selected from povidone , poloxomers , polyethylene glycol , hydroxypropyl cellulose , polyethylene oxide .
该 环氧 虫 啶 悬浮剂 的 有效成分 为 环氧 虫 啶 , 通过 加入 润湿 分散剂 、 增稠剂 、 防冻剂 、 pH 调节剂 、 防腐剂 、 消泡剂 及 水 , 然后 在 砂磨机 中 砂磨 至 平均 粒径 2 - 3 微米 , 制 得 悬浮剂 。 ||| the epoxy caninum polyethylenimines suspending agent , of the active ingredient is an insect polyethylenimines by adding wetting , dispersing agent , a thickening agent , an antifreezing agent , a ph adjusting agent , preservative , antifoam agent , and water , and then in a sand mill sand milled to an average particle size of 2-3 microns , prepared by suspending agent .
中控 模块 与 各 表现 装置 连接 实现 根据 生理 发育 参数 或者 运动 信号 驱动 表现 装置 。 ||| the module is connected to each of the rendering device is achieved according to the physiological developmental parameters or motion signal drives the rendering device .
采用 本 方法 的 血压 监测仪器 无需 加压 气泵 , 能够 用于 长期 连续 血压 监测 。 ||| using the present method , without the need of a blood pressure monitoring equipment pressurized air pump that can be used for the long- term continuous blood pressure monitoring .
第一线 体 ( 13 ) 一端 与 绞线 盘 ( 112 ) 连接 , 另一端 向 下垂 降 , ||| the first body ( 13 ) at one end with the wire stranding disc ( 112 ) , and the other end connected to the drop down ,
一种 心包 穿刺针 组件 ( 10 ) , 包括 导 丝 ( 13 ) 和 穿刺针 ( 12 ) , ||| a pericardial needle assembly ( 10 ) including a guide wire ( 13 ) and the needle ( 12 ) ,
本发明 提供 一种 Tat 佐剂 , 其 含有 : ( a ) 包含 编码 HIVTat 或 其 片段 或 变体 的 核苷酸 序列 的 质粒 , 或 ( b ) HIVTat 或 其 片段 或 其 变体 。 ||| the present invention provides a tat adjuvant which contains : ( a ) contain encoded hivtat or a fragment or variant of the nucleotide sequence of plasmid , or ( b ) hivtat or a fragment or variant thereof .
在 对应 于 该 连接 轴 插孔 ( 122 ) 的 套环 ( 13 ) 上 设有 一 沿 该 插孔 周 向 的 弧形 条 孔 ( 14 ) 。 ||| in correspondence with the connecting shaft sockets ( 122 ) has a collar ( 13 ) is provided on the receptacle along a circumferential arc of the nipple hole ( 14 ) .
该 注射剂 是 将 苯酚 在 常温下 的 饱和溶液 稀释 到 生理盐水 中 。 ||| the injection is at ambient temperature , a saturated solution of phenol was diluted into saline .
本发明 提供 了 ( 2 E , 6 E ) -2,6- 二 ( 2 - ( 三 氟 甲基 ) 苯 亚 甲基 ) 环己酮 或 其 药学 上 可 接受 的 盐 在 制备 用于 治疗 或 预防 肾病 或 心脏病 的 药物 , 或者 用于 改善 肾病 或 心脏病 症状 的 药物 中 的 用途 。 ||| the present invention provides ( 2 e , 6 e ) -2,6- bis ( 2- ( trifluoromethyl ) benzylidene ) cyclohexanone or a pharmaceutically acceptable salt thereof in the manufacture of for the treatment or prevention of a heart disease , renal disease , or drug , or to improve the symptoms of heart disease , renal disease , or the use of an agent .
该 无线 信号 接收器 将 接收 的 信号 传输 至 计分 显示器 ( 4 ) 中 并 由 计分 显示器 ( 4 ) 显示 投篮 分数 。 计分 显示器 ( 4 ) 相对 篮板 ( 2 ) 独立 安装 。 ||| the receiver will receive the wireless signal is a signal transmission to score the display ( 4 ) and is formed by scoring the display ( 4 ) shows the shot is a score . scoring display ( 4 ) relative the backboard ( 2 ) installed separately .
本 方法 与 现有 血压计 采用 方法 的 本质区别 在于 : 本 方法 是 在 正常 状态 下 采集 人体 体表 动脉 的 搏动 信号 , 并 对 该 搏动 信号 分析 计算 得到 血压 值 。 ||| the present method is employed with existing sphygmomanometer the essential difference of the method : this method is collected in a normal state of the beat signal human body surface artery , and subjecting the beat signal analysis , blood pressure values are calculated .
该 连接 轴 ( 12 ) 设有 可供 底座 支杆 ( 11 ) 插入 的 插孔 ( 122 ) 。 ||| the connecting shaft ( 12 ) is provided with an available base struts ( 11 ) is inserted into the receptacle ( 122 ) .
缝线 ( 11 ) 和 拉线 ( 12 ) 缝制 在 包膜 ( 10 ) 上 , 并 与 包膜 ( 10 ) 形成 可 解脱 的 连接 ; ||| the suture ( 11 ) , and the wires ( 12 ) are sewn to the envelope ( 10 ) , and on to the envelope ( 10 ) to form a releasable connection ;
杯 体 组件 ( 1 ) 与 发热 组件 ( 2 ) 分体 安装 , 清洗 方便 。 ||| cup assembly ( 1 ) with the heat generating component ( 2 ) cleaning the convenient installation , respectively .
本发明 公开 了 一种 血压 监测 方法 , 本 方法 采用 压力 或 震动 传感器 在 体表 感应 人体 动脉 的 搏动 ( 压力 或 震动 ) , 产生 相应 的 电信号 。 通过 对 该 电信号 的 分析 计算 得出 血压 值 。 ||| the present invention discloses a blood pressure monitoring method , the method uses a pressure or vibration sensor sensing the body surface of a human artery beating ( pressure or vibration ) , generates a corresponding electrical signal . through the analysis on the electrical signal is calculated from the blood pressure values .
